Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Unit Price                                                          USD,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,Type,ESR (Equivalent Series Resistance),Operating Temperature,Lifetime @ Temp.,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Ratings,Features,Failure Rate
399-10146-1-ND,T491B335M020AT,KEMET,CAP TANT 3.3UF 20V 20% 1411,"62,741 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,3.3µF,±20%,20V,Molded,3 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3719-1-ND,T491B335K016AT,KEMET,CAP TANT 3.3UF 16V 10% 1411,"42,343 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,3.3µF,±10%,16V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10144-1-ND,T491B226K004AT,KEMET,CAP TANT 22UF 4V 10% 1411,"18,569 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,22µF,±10%,4V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8308-1-ND,T491B225M020AT,KEMET,CAP TANT 2.2UF 20V 20% 1411,"15,227 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±20%,20V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3722-1-ND,T491B475K016AT,KEMET,CAP TANT 4.7UF 16V 10% 1411,"12,282 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±10%,16V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3725-1-ND,T491B475M016AT,KEMET,CAP TANT 4.7UF 16V 20% 1411,"13,932 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,4.7µF,±20%,16V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3704-1-ND,T491B106K006AT,KEMET,CAP TANT 10UF 6.3V 10% 1411,"9,549 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±10%,6.3V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3707-1-ND,T491B106M010AT,KEMET,CAP TANT 10UF 10V 20% 1411,"7,122 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,10µF,±20%,10V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3727-1-ND,T491B685K010AT,KEMET,CAP TANT 6.8UF 10V 10% 1411,"10,865 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,6.8µF,±10%,10V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-3714-1-ND,T491B225K020AT,KEMET,CAP TANT 2.2UF 20V 10% 1411,"2,473 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±10%,20V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8316-1-ND,T491B335K020AT,KEMET,CAP TANT 3.3UF 20V 10% 1411,"2,115 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,3.3µF,±10%,20V,Molded,3 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10152-1-ND,T491B685M010AT,KEMET,CAP TANT 6.8UF 10V 20% 1411,"3,100 - Immediate",$0.43000,1,Cut Tape (CT) Alternate Packaging,T491,Active,6.8µF,±20%,10V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8305-1-ND,T491B225K016AT,KEMET,CAP TANT 2.2UF 16V 10% 1411,"6,031 - Immediate",$0.44000,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±10%,16V,Molded,-,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-10142-1-ND,T491B156K006AT,KEMET,CAP TANT 15UF 6.3V 10% 1411,"7,406 - Immediate",$0.44000,1,Cut Tape (CT) Alternate Packaging,T491,Active,15µF,±10%,6.3V,Molded,3.5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1411 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,-,General Purpose,-
399-8263-1-ND,T491A104K050AT,KEMET,CAP TANT 0.1UF 50V 10% 1206,"16,283 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.1µF,±10%,50V,Molded,20 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
399-10113-1-ND,T491A104M050AT,KEMET,CAP TANT 0.1UF 50V 20% 1206,"7,000 - Immediate",$0.45000,1,Cut Tape (CT) Alternate Packaging,T491,Active,0.1µF,±20%,50V,Molded,20 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
